Anna Maria KRUPKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,05;39854
Ryszard BARTOSIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,05;25371
Jarosław Wiesław WIECZOREK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,05;23451
Zofia CZERNOW;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;6,03;30258
Paweł JABŁOŃSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,03;22996
Waldemar Franciszek ANDZEL;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6,01;22699
Arkadiusz MARCHEWKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;5,99;33222
Andrzej Mieczysław ADAMCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,96;45171
Rafał Paweł KOMAREWICZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,92;44808
Sławomir Jerzy MENTZEN;KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ;5,91;101269
Włodzimierz CZARZASTY;KOMITET WYBORCZY NOWA LEWICA;5,91;22332
Ewa Maria LENIART;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,76;38795
Tomasz Dominik TRELA;KOMITET WYBORCZY NOWA LEWICA;5,75;26273
Ewa Joanna SZYMANOWSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,74;26185
Agnieszka Maria BUCZYŃSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,71;35213
Marcin Paweł PRZYDACZ;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,71;30423
Urszula Teresa NOWOGÓRSKA;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,71;24388
Maria Małgorzata JANYSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;5,71;23592
Anna Maria MILCZANOWSKA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,69;22595
Ewa Katarzyna SCHÄDLER;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,67;33815
Władysław DAJCZAK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,63;29131
Henryk KOWALCZYK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,58;30081
Aleksandra Karolina WIŚNIEWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;5,57;25436
Dariusz KLIMCZAK;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,5;21826
Sylwia Alina BIELAWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;5,44;17577
Maciej Roman WĄSIK;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,43;24033
Andrzej Marian GRZYB;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,42;29391
Joanna Grażyna KLUZIK-ROSTKOWSKA;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;5,42;21218
Paweł Marek ŚLIZ;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,38;19630
Katarzyna Agata KOTULA;KOMITET WYBORCZY NOWA LEWICA;5,37;33122
Jan Krzysztof ARDANOWSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,33;28658
Elżbieta Kazimiera GELERT;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;5,29;15847
Janusz Antoni CIESZYŃSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,28;20644
Norbert Jerzy PIETRYKOWSKI;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,17;27596
Daria Iwona GOSEK-POPIOŁEK;KOMITET WYBORCZY NOWA LEWICA;5,16;39054
Aleksandra Maria LEO;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;5,15;16661
Piotr Marcin URUSKI;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;5,14;22703
