pomorskie;chojnicki;71034;50732;71;945;18623;14630;6825;3717;4057;1911
pomorskie;człuchowski;41687;27475;40;706;8519;9449;3536;2367;1919;973
pomorskie;Gdańsk;369589;301761;342;2847;59689;139254;43187;32730;16843;6664
pomorskie;gdański;90985;70641;104;1229;15536;29913;11726;5044;5000;2162
pomorskie;Gdynia;183307;148710;319;1185;29843;68851;20127;16573;8136;3775
pomorskie;kartuski;105414;82505;94;1288;27074;25536;11425;4950;7016;5133
pomorskie;kościerski;53688;39717;74;800;14799;11517;5669;2372;2929;1620
pomorskie;kwidzyński;59656;39703;62;1110;12573;12588;5064;4200;2789;1357
pomorskie;lęborski;47011;33677;63;578;9795;12632;4334;2772;2435;1115
pomorskie;malborski;45807;31562;83;704;8719;11551;4871;2764;2038;894
pomorskie;nowodworski;27425;18872;26;484;5354;7445;2563;1291;1168;563
pomorskie;pucki;68212;52275;62;794;14785;19431;7813;3743;3750;1908
pomorskie;Słupsk;63200;46437;76;517;12817;19645;5077;4472;2656;1214
pomorskie;słupski;72802;49118;97;1055;14963;17829;6250;3991;3460;1544
pomorskie;Sopot;27963;22743;95;183;4606;12095;2255;2188;952;420
pomorskie;starogardzki;92744;64948;118;1679;24295;18713;9059;4208;4506;2447
pomorskie;sztumski;30459;18878;35;742;6158;6416;2571;1379;1036;563
pomorskie;tczewski;82523;58300;81;1361;18388;19034;9303;4163;4074;1918
pomorskie;wejherowski;162157;124335;166;1614;34376;47236;17170;9099;9926;4813
śląskie;będziński;112981;86098;198;1087;23026;27780;8412;18337;4727;2683
śląskie;bielski;126062;99436;212;1144;34373;28405;15562;7428;8083;4351
śląskie;Bielsko-Biała;125690;98943;181;892;29469;34751;14174;8655;7099;3659
śląskie;bieruńsko-lędziński;44674;34147;97;486;14735;8029;4335;1964;2880;1689
śląskie;Bytom;109262;75212;98;1190;23072;25903;9135;7665;5202;2961
śląskie;Chorzów;74222;53898;98;772;14475;21636;6533;4762;3593;2098
śląskie;cieszyński;136796;102140;222;1418;33164;29118;16415;9225;7873;4864
śląskie;Częstochowa;160015;123259;186;1533;37548;43548;14065;15005;7180;4170
śląskie;częstochowski;105199;78442;158;1856;31150;18841;11797;6550;5145;3033
śląskie;Dąbrowa Górnicza;88190;67562;72;698;18465;19450;5937;17745;3408;1764
śląskie;Gliwice;129416;99948;215;1218;25641;40642;12558;9764;6515;3572
śląskie;gliwicki;85729;61394;79;1021;19845;19121;8918;4542;4462;3420
śląskie;Jastrzębie-Zdrój;63206;45576;86;831;19120;11968;4360;3757;3414;2102
śląskie;Jaworzno;67099;50528;119;658;15465;16295;4963;8077;3326;1688
śląskie;Katowice;218075;172168;254;1768;44275;70649;21672;17239;10440;5652
śląskie;kłobucki;65800;48291;105;1094;18305;9138;11540;3335;3109;1747
śląskie;lubliniecki;59587;40946;71;1045;15178;11873;5585;1957;3151;2136
śląskie;mikołowski;74306;57915;140;809;17937;19872;8802;3562;4613;2300
śląskie;Mysłowice;53416;40482;79;502;13831;13181;5006;3576;2947;1410
śląskie;myszkowski;54328;39735;128;836;15575;10913;4711;3650;2671;1335
śląskie;Piekary Śląskie;39782;29288;58;481;10665;11205;2610;1614;1714;982
śląskie;pszczyński;82589;64337;86;821;26331;16571;7863;4233;5181;3308
śląskie;raciborski;78721;50723;88;1159;18228;15510;6613;3262;3714;2190
śląskie;Ruda Śląska;98989;71967;108;971;25188;22606;10618;4936;4868;2703
śląskie;rybnicki;57856;42657;96;842;17983;10148;5324;2646;3594;2112
śląskie;Rybnik;98859;73362;94;1078;26184;22238;8990;5651;5692;3496
śląskie;Siemianowice Śląskie;47853;35828;58;506;9599;13650;4397;3092;2144;2425
śląskie;Sosnowiec;147145;111783;158;1168;29844;33476;10013;29136;5398;2633
śląskie;Świętochłowice;34432;23900;24;420;7551;8601;2850;1856;1671;929
śląskie;tarnogórski;107314;79439;150;984;25530;26359;11523;6027;5273;3619
śląskie;Tychy;91441;71935;134;810;22139;24039;11804;5470;4983;2651
śląskie;wodzisławski;115529;84143;222;1409;33985;23473;9403;4848;6719;4246
śląskie;Zabrze;118388;77612;113;1339;22739;27686;9547;7675;5482;3010
śląskie;zawierciański;90704;66997;138;1065;25589;17518;7896;8351;4653;1904
śląskie;Żory;45367;34101;48;530;11793;11195;4033;2391;2781;1349
śląskie;żywiecki;116066;86732;270;1481;40169;18832;10764;5060;6673;3693
świętokrzyskie;buski;57929;40594;109;900;20034;6680;6285;2407;2260;2017
świętokrzyskie;jędrzejowski;65945;46355;102;1024;24479;7171;6395;2490;2952;1833
świętokrzyskie;kazimierski;26759;17057;58;369;8941;2246;3084;826;1023;557
świętokrzyskie;Kielce;144403;112938;145;1204;36334;37380;14394;10368;6691;6420
świętokrzyskie;kielecki;164814;120073;215;2550;60133;19611;14416;6966;8931;7391
świętokrzyskie;konecki;61775;43470;125;972;21827;7522;4941;3836;2569;1794
świętokrzyskie;opatowski;40074;26772;60;815;14720;3208;3687;1391;1877;1057
świętokrzyskie;ostrowiecki;80764;54840;121;1202;23048;13145;7728;4269;3253;2156
świętokrzyskie;pińczowski;30969;20909;66;498;10502;3401;3019;1236;1272;947
świętokrzyskie;sandomierski;59344;40161;122;884;18483;6237;8663;2169;2541;1175
świętokrzyskie;skarżyski;55774;40168;129;714;15828;12450;4193;2917;2322;1723
świętokrzyskie;starachowicki;66999;46816;123;915;21237;10688;5783;2954;3213;1990
świętokrzyskie;staszowski;55186;37962;86;890;20783;5300;4611;1884;2705;1766
świętokrzyskie;włoszczowski;35318;24922;51;520;13917;2902;3776;1335;1588;879
warmińsko-mazurskie;bartoszycki;42268;26759;42;913;9420;9183;3186;1760;1523;764
warmińsko-mazurskie;braniewski;29423;18704;58;619;6509;5578;2839;1375;1204;576
warmińsko-mazurskie;działdowski;47967;32288;38;1045;13595;7483;4560;2496;2152;945
warmińsko-mazurskie;Elbląg;86152;63496;114;911;18222;24820;7949;6646;3281;1596
warmińsko-mazurskie;elbląski;42452;27383;49;856;9330;8660;3982;1991;1722;830
warmińsko-mazurskie;ełcki;63813;40410;83;965;14511;11943;5627;2570;3301;1463
warmińsko-mazurskie;giżycki;41467;28188;51;800;8554;9606;4477;1863;1783;1105
warmińsko-mazurskie;gołdapski;18881;11703;24;380;4086;3495;1792;742;659;545
warmińsko-mazurskie;iławski;68794;47426;61;1333;16836;12771;8438;3202;3499;1326
warmińsko-mazurskie;kętrzyński;45107;27973;60;895;9528;8799;3809;2289;1759;882
warmińsko-mazurskie;lidzbarski;29627;19050;33;611;6340;6450;2484;1282;1248;627
warmińsko-mazurskie;mrągowski;36613;24543;56;676;7672;8101;4069;1370;1612;1032
warmińsko-mazurskie;nidzicki;23998;15641;18;576;6542;3921;1973;1010;1092;522
